binomial,count
Merremia peltata,9
Platycladus orientalis,8
Ixodes ricinus,8
Achatina fulica,8
Anthocharis cardamines,7
Ixodes scapularis,7
Teucrium divaricatum,6
Ballota acetabulosa,6
Borrelia burgdorferi,5
Paracentrotus lividus,5
Aspergillus flavus,4
Aedes aegypti,4
Cardamine pratensis,4
Culicoides occidentalis,3
Zootoca vivipara,3
Clostridium perfringens,3
Culicoides imicola,3
Culicoides insignis,3
Phragmites australis,3
Malacobelemnon daytoni,3
Thlaspi caerulescens,3
Themeda triandra,3
Culicoides brevitarsis,3
Ixodes persulcatus,3
Culicoides sonorensis,3
Arabidopsis thaliana,3
Cardamine paludosa,3
Ochotona princeps,3
Culicoides variipennis,3
Protothaca staminea,2
Arabis glabra,2
Thymus capitatus,2
E. coli,2
Laternula elliptica,2
Climate stable,2
Troglocharinus ferreri,2
Venerupis philippinarum,2
Ciona intestinalis,2
Streptobacillus moniliformis,2
Anthus pratensis,2
Sardinops sagax,2
Anthocharis glabra,2
Culex nigripalpis,2
J. turkistanica,2
Cryptocarya concinna,2
Filled square,2
Climate endangered,2
J. seravschanica,2
J. semiglobosa,2
Acipenser transmontanus,2
Solenopsis anglica,2
Peromyscus leucopus,2
Anopheles gambiae,2
Capsella bursa,2
Trapezodirus orobios,2
Plasmodium falciparum,2
Arabis hirsuta,2
Drosophila melanogaster,2
Cryptocarya chinensis,2
Phylloscopus collybita,2
Cryptococcus gattii,2
Clostridium gattii,2
Ixodes uriae,2
Uria lomvia,1
Odocoileus hemionus,1
Health systems,1
Lantana camara,1
Saxidomus giganteus,1
Lepidochelys olivacea,1
Culex tarsalis,1
Nassella trichotoma,1
Ruppia maritima,1
Sisymbrium austriacum,1
Ae. albopictus,1
Rhacochilus vacca,1
Quercus ilex,1
Canis latrans,1
Cystophora cristata,1
S. typhi,1
Amblyomma hebraeum,1
Bursaria spinosa,1
Picea sp,1
Olea europaea,1
Neovison vison,1
Collaborative governance,1
Hyalomma truncatum,1
Dreissena polymorpha,1
Solenopsis invicta,1
Zostera marina,1
Bufo marinus,1
Ixodes dammini,1
Linepithema humile,1
Dendragapus fuliginosus,1
O. mykiss,1
Vulpes vulpes,1
B. spinosa,1
Marmota vancouverensis,1
Gambusia holbrooki,1
Haemaphysalis inermis,1
Climate threatened,1
Graptemys ouachitensis,1
Troglocharinus bolivari,1
S. paratyphi,1
Plutella xylostella,1
Molgula pedunculata,1
Centaurea stoebe,1
Graptemys pseudogeographica,1
A. phagocytophilum,1
Sinopodophyllum hexandrum,1
Canis lupus,1
Alliaria petiolata,1
Pomacea canaliculata,1
Spartina anglica,1
Dermochelys coriacea,1
Anthocharis thaliana,1
Castanopsis chinensis,1
Burramys parvus,1
Picea mariana,1
Pinus halepensis,1
Ammodramus bairdii,1
Ursus marinus,1
Angiostrongylus cantonensis,1
Streptococcus bovis,1
Rhipicephalus appendiculatus,1
Agrotis infusa,1
Quercus suber,1
Thaleichthys pacificus,1
Rhipicephalus sanguineus,1
Pistacia lenticus,1
Siganus luridus,1
Pinus taeda,1
Acer saccharum,1
Cervus elaphus,1
Butomus umbellatus,1
Pinus massoniana,1
Homo sapiens,1
Drosophila suzukii,1
T. chinensis,1
Aedes albopictus,1
Amblyomma variegatum,1
O. kisutch,1
Speonomus longicornis,1
Pinus pinaster,1
Capra ibex,1
Phalaris arundinacea,1
Trapezodirus bolivari,1
Blastomyces dermatidis,1
Cx. restuans,1
Physical resilience,1
Phytophthora cinnamomi,1
Naegleria fowleri,1
Luminescence dating,1
Pseudotaxus chienii,1
Hexagrammos decagrammus,1
Anthocharis hirsuta,1
Abronia umbellata,1
Babesia microti,1
Brachyistius frenatus,1
Diplasterias brucei,1
Clupea pallasii,1
Chromolaena odorata,1
Batrachochytrium dendrobatidis,1
Felis catus,1
Pseudotsuga menziesii,1
Dermacentor reticulatus,1
Radiocarbon dating,1
Perceived risks,1
Pseudomys pilligaensis,1
Social resilience,1
Marseniopis mollis,1
Antilocapra americana,1
Ae. aegypti,1
Callinectes sapidus,1
Blastomyces dermatitidis,1
Ficedula hypoleuca,1
Risk communication,1
T. ramosissima,1
Malacobelemnon pedunculata,1
Mikania micrantha,1
Ursus maritimus,1
Acer rubrum,1
Allocasuarina portuensis,1
Drosophila subobscura,1
Speonomus fagniezi,1
Geranium carolinianum,1
Abies balsamea,1
Rhipicephalus decoloratus,1
Halotydeus destructor,1
Cx. pipiens,1
Ursus arctos,1
Siganus rivulatus,1
Anas platyrhynchos,1
Numenius borealis,1
Limulus polyphemus,1
