binomial,count
Ae. albopictus,8
Heterotheca brandegeei,8
Ae. aegypti,7
Mepraia gajardoi,7
Mepraia spinolai,7
Plutella xylostella,6
Thuja occidentalis,6
Rhododendron chrysanthum,6
Aedes aegypti,6
Vaccinium uliginosum,6
Leptonycteris nivalis,6
Haloxylon ammodendron,6
Karsenia koreana,6
Plutella brassicae,6
Molinia caerulea,5
Pseudotsuga menziesii,5
Anabasis aphylla,5
Populus euphratica,5
Calligonum mongolicum,5
Gambusia holbrooki,4
Setchellanthus caeruleus,4
Abies concolor,4
Cypripedium fasciculatum,4
Vulpes lagopus,4
Dodonaea viscosa,4
Saussurea parviflora,4
Teladorsagia circumcincta,4
Homarus americanus,4
Olea europaea,4
Vitis vinifera,4
Ephedra aspera,4
Leucophyllum laevigatum,4
Lindleya mespiloides,4
Brassica nigra,4
Sophora chrysophylla,4
Sardinella aurita,4
Setophaga kirtlandii,4
Ixodes scapularis,4
Populus tremuloides,4
Calamagrostis angustifolia,4
Citrus sinensis,3
G. baishanense,3
Plethodon metcalfi,3
Myotis nattereri,3
Peromyscus maniculatus,3
Deschampsia antarctica,3
Agave palmeri,3
Trypanosoma cruzi,3
Trypanosoma infestans,3
Haemonchus contortus,3
Plasmodium falciparum,3
Carassius auratus,3
L. jamesii,3
Agave parryi,3
Borrelia burgdorferi,3
Salmo trutta,3
Myotis daubentonii,3
Leucanthemum vulgare,3
Colobanthus quitensis,3
Liza aurata,3
Parus major,3
Armadillidium vulgare,3
Rangifer tarandus,3
Vibrio cholerae,3
Berberis trifoliolata,3
Pinus ponderosa,3
Pseudomonas syringae,3
Chenopodium oahuense,3
Araucaria angustifolia,3
Pieris brassicae,3
Saussurea tomentosa,3
Agave havardiana,2
Citrus paradisi,2
Seriola lalandi,2
Acheta domesticus,2
Ambystoma maculatum,2
Pinus edulis,2
Poncirus trifoliata,2
Cypripedium reginae,2
Engagement approaches,2
Leptonycteris yerbabuenae,2
Distichlis spicata,2
Eriophorum vaginatum,2
Raphanus sativus,2
Oxyria sinensis,2
Eucalyptus tetrodonta,2
Vulpes vulpes,2
Picea glauca,2
Rhododendron ferrugineum,2
Acanthochromis polyacanthus,2
Escherichia coli,2
Galaxias oliros,2
Argiope trifasciata,2
Spartina alterniflora,2
Myodes rutilus,2
Trichuris trichiura,2
Poecilia fuscus,2
Azorella selago,2
Dicentrarchus labrax,2
Trichophorum pusilla,2
Cajanus cajan,2
Citrus maxima,2
Saussurea stipulata,2
Citrus limonia,2
Betula pubescens,2
Camelia sinensis,2
Abies lasiocarpa,2
Choeronycteris mexicana,2
Management modelling,2
Syagrus romanzoffiana,2
Jasus edwardsii,2
I. scapularis,2
Alle alle,2
Citrus macrophylla,2
Argiope keyserlingi,2
Camellia sinensis,2
Citrus medica,2
User focus,2
Arabidopsis thaliana,2
P. falciparum,2
Xenopus tropicalis,2
Spartina patens,2
Oncorhynchus mykiss,2
Schoenus ferrugineus,2
Oncomelania hupensis,2
Panthera tigris,2
Ficedula hypoleuca,2
Pseudochromis fuscus,2
Pinus sylvestris,2
Poecilia wardi,2
Oryzias melastigma,2
