disease,count
malaria,279
infectious disease,110
asthma,101
suppression,61
allergy,57
cancer,47
chikungunya,46
dengue fever,44
encephalitis,42
leishmaniasis,41
schistosomiasis,37
cardiovascular disease,36
stroke,35
obesity,32
diarrhea,28
respiratory disease,26
influenza,26
heart disease,25
tick-borne encephalitis,20
dengue fever,,18
rhinitis,17
heart disease,,17
gastroenteritis,17
cutaneous leishmaniasis,17
infectious disease,,16
leptospirosis,16
yellow fever,13
yellow fever,,13
hepatitis,12
viral disease,12
trypanosomiasis,11
post-traumatic stress disorder,11
visceral leishmaniasis,11
allergic rhinitis,11
chronic obstructive pulmonary disease,,11
plague,10
mouth disease,10
aids,10
cryptosporidiosis,10
lung disease,9
tuberculosis,9
hemorrhagic fever with renal syndrome,9
allergic rhinitis,,9
respiratory disease,,9
chronic obstructive pulmonary disease,9
meningitis,8
lung cancer,8
campylobacteriosis,8
pneumonia,8
filariasis,7
cardiovascular disease,,7
coccidioidomycosis,7
diabetes mellitus,7
dementia,6
hand, foot and mouth disease,6
hand, foot, and mouth disease,6
infectious disease.,6
microcephaly,6
lung cancer,,6
anthrax,5
mastitis,5
rash,5
avian influenza,5
cardiovascular disease.,5
substance abuse,,5
typhoid fever,,5
arthritis,5
tick-borne encephalitis,,5
lung cancer.,5
shortness,5
parasitic disease,5
cutaneous leishmaniasis,,4
smallpox,4
typhus,4
viral disease,,4
intestinal schistosomiasis,4
heart disease.,4
onchocerciasis,4
typhoid fever,4
listeriosis,4
hemorrhagic disease,4
hypersensitivity,4
babesiosis,4
interstitial lung disease,3
cutaneous leishmaniasis.,3
giardiasis,3
irritable bowel syndrome;,3
infertility,3
allergic asthma,3
eclampsia,3
relapsing fever,3
anemia,3
scrub typhus,3
dirofilariasis,3
dengue fever.,3
visceral leishmaniasis.,3
breast cancer,3
dengue hemorrhagic fever,3
skin cancer,3
spotted fever,3
lyme disease,3
brucellosis,3
chagas disease,3
lung disease,,3
severe acute respiratory syndrome,3
dermatitis,3
rabies,3
tick-borne encephalitis.,3
autism,3
atopic dermatitis,2
irritable bowel syndrome.,2
atherosclerosis,2
cysticercosis,2
allergic rhinitis.,2
osteoarthritis,2
hand, foot and mouth disease,,2
diabetes mellitus.,2
sleeping sickness,2
acute myocardial infarction,,2
pulmonary hypertension,2
avian influenza,,2
visceral leishmaniasis,,2
irritable bowel syndrome,2
lymphoma,2
infectious disease?,2
heart disease;,2
allergic asthma.,2
opisthorchiasis,2
stuttering,2
atopic dermatitis.,2
shigellosis,2
methemoglobinemia,2
post-traumatic stress disorder,,2
breast cancer,,2
yellow fever.,2
reactive arthritis.,2
reactive arthritis,2
bacterial disease,2
rheumatoid arthritis,,2
scarlet fever,2
clonorchiasis,2
congestive heart failure,2
multiple myeloma,2
lung disease.,2
fasciolosis,2
mouth disease,,2
ascariasis,2
stomatitis,2
cardiovascular disease;,2
substance abuse,2
blastomycosis,2
food allergy,2
chronic obstructive pulmonary disease.,2
measles,2
neurodegeneration,1
toxoplasmosis,1
food allergy.,1
eosinophilia,1
ovarian cancer,1
bipolar disorder.,1
cerebral malaria,,1
autoimmune disease,1
anxiety disorder,,1
dengue hemorrhagic fever,,1
chronic kidney disease,1
bipolar disorder,1
generalized anxiety disorder,1
bone disease.,1
cataract,1
multiple sclerosis,1
mucocutaneous leishmaniasis,1
amnesia,1
major depressive disorder,1
chickenpox,1
glioma,1
myelodysplastic syndrome,1
acute myocardial infarction.,1
fatty liver disease,,1
gastrointestinal disease,1
chagas disease.,1
chagas disease,,1
mite infestation,1
alcohol abuse,1
metabolic syndrome,1
hemorrhagic fever with renal syndrome,,1
attention deficit hyperactivity disorder,,1
mumps,1
heart attack,1
bacterial disease,,1
skin cancer,,1
paratyphoid fever,1
viral hepatitis,1
herpangina,1
acrodermatitis,1
stomach cancer,1
nephropathy,1
acute myocardial infarction,1
liver disease,,1
congestive heart failure,,1
favus,1
tularemia,1
ancylostomiasis,1
sinusitis,1
rheumatic fever,,1
anxiety disorder,1
adjustment disorder,,1
rift valley fever,1
kidney failure,1
reactive arthritis;,1
gestational hypertension,,1
immune disorder,1
colorectal cancer,,1
volvulus,1
rift valley fever,,1
viral hepatitis,,1
scrub typhus,,1
tick-borne relapsing fever,1
epilepsy,1
leukemia,1
schizophrenia,1
cystic fibrosis,,1
nephropathia epidemica,1
nephropathia epidemica.,1
meningoencephalitis,1
ovarian cancer,,1
pulmonary hypertension,,1
pulmonary hypertension.,1
cerebral malaria,1
respiratory disease.,1
pulmonary tuberculosis,,1
heart attack.,1
angiostrongyliasis,1
liver disease,1
substance abuse.,1
lung disease;,1
metabolic acidosis,1
plasmodium falciparum malaria,1
pancreatic cancer,1
dracunculiasis,1
louse-borne relapsing fever,1
parasitic disease,,1
