climate,count
climate,693
phenology,249
weather,202
anthropogenic,85
agricultural,71
Arctic,65
atmospheric,29
IPCC,27
sea ice,25
Intergovernmental Panel on Climate Change,22
Antarctic,20
invasive species,19
ecosystem services,16
Anthropogenic,15
Global warming,15
homogenization,14
Holocene,12
carbon dioxide,11
urban heat island,10
ENSO,8
Southern Ocean,7
anthropogenic climate change,6
sea surface temperature,6
sea ice,,6
ecosystem services,,6
atmosphere,5
oceans,5
ecosystem services.,5
invasive species,,4
Intergovernmental Panel on Climate Change.,4
Keeling,3
sea ice.,3
carbon sequestration,3
irradiance,3
Global warming,,3
carbon cycle,3
tipping points,2
invasive species.,2
ice age,2
AMO,2
El Niño-Southern Oscillation,2
water vapor,2
Atlantic Multidecadal Oscillation,2
climatology,2
Biofuel,2
greenhouse gas,2
insolation,2
anthropogenic climate change.,2
Glaciation,1
global climate model,1
slash and burn,1
carbon sequestration.,1
Southern Ocean.,1
ecosystem services?,1
Ocean acidification,1
pollutant,1
deforestation,1
urban heat island.,1
ice core,1
sea surface temperature.,1
sea surface temperature,,1
carbon dioxide.,1
core sample,1
Intergovernmental Panel on Climate Change,,1
