country,count
United States,122
Canada,87
Netherlands,84
Germany,78
France,77
Finland,76
China,72
Sweden,71
Norway,65
Spain,62
United Kingdom,61
Poland,50
Australia,50
Italy,45
Austria,39
Switzerland,36
Belgium,31
Mexico,31
Japan,29
South Africa,28
New Zealand,28
India,25
Turkey,21
Denmark,20
Portugal,19
Czech Republic,19
Brazil,19
United States.,17
Hungary,17
Ireland,16
Georgia,14
Argentina,13
Madagascar,13
Nigeria,11
United States,,10
Greece,10
Algeria,9
Slovakia,9
Bulgaria,8
South Africa.,8
Israel,8
Estonia,8
Monaco,8
Panama,7
Nepal,7
Seychelles,7
Guinea,7
Jordan,7
South Africa,,7
United Kingdom.,7
Antarctica,7
Lithuania,7
Belarus,6
Senegal,6
Latvia,5
Ukraine,5
New Zealand.,5
Costa Rica,5
Tunisia,5
Kenya,5
Cameroon,5
Iceland,5
Jersey,5
Colombia,5
Czech Republic,,5
Uganda,5
Mongolia,4
Morocco,4
Guatemala,4
Jamaica,4
United Kingdom,,4
Gibraltar,4
Luxembourg,4
Czech Republic.,4
Egypt,4
Romania,4
Anguilla,3
Sri Lanka,,3
Chad,3
Albania,3
Pakistan,3
Serbia,3
Bhutan,3
Montenegro,3
Angola,2
Kazakhstan,2
United States;,2
Congo,2
Maldives,2
Bermuda,2
Peru,2
Puerto Rico,2
South Africa;,2
Croatia,2
Sri Lanka,2
Ecuador,2
Mauritius,2
Åland Islands,,2
Malta,2
Niger,2
Philippines,2
Greenland,2
Iraq,1
Chile,1
Isle of Man,1
Hong Kong,,1
Ghana,1
Namibia,1
New Zealand,,1
Hong Kong,1
Thailand,1
Equatorial Guinea,1
Uruguay,1
Lebanon,1
Azerbaijan,1
Cuba,1
Cyprus,1
Malaysia,1
Armenia,1
Mozambique,1
Slovenia,1
Bosnia and Herzegovina,,1
Bouvet Island,1
Ethiopia,1
Bolivia,1
Costa Rica,,1
Gambia,1
Bangladesh,1
Nicaragua,1
Botswana,1
Zimbabwe,1
Indonesia,1
