funders,count
Royal Society,207
National Academy of Sciences,77
Princeton University,31
European Research Council,27
National Science Foundation,25
University of Chicago,21
Natural Sciences and Engineering Research Council of Canada,18
European Commission,11
Natural Environment Research Council,11
National Academy of Sciences,,11
University of California,10
Met Office,10
Chinese Academy of Sciences,10
Natural History Museum,9
Harvard University,8
University of Washington,8
National Natural Science Foundation of China,8
SAS Institute,8
Cornell University,,7
Natural England,7
Environment Canada,7
Centre National de la Recherche Scientifique,7
Colorado State University,7
Agence Nationale de la Recherche,7
Conservation International,7
Cornell University,7
University of Georgia,6
Johns Hopkins University,6
Roche,6
Oregon State University,6
Chinese Academy of Sciences,,6
University of Exeter,,6
Ministry of Education,6
University of California,,6
Deutsche Forschungsgemeinschaft,6
U.S. Fish and Wildlife Service,6
University of Guelph,5
Australian Research Council,5
Ministry of Economy,5
Yale University,5
Ohio State University,5
Smithsonian Institution,5
European Social Fund,5
World Health Organization,5
University of Cape Town,5
American Museum of Natural History,5
Universidade do Porto,,5
University of Exeter,5
Columbia University,5
University of Sheffield,5
Wageningen University,4
National Oceanic and Atmospheric Administration,4
Wildlife Conservation Society,4
Leverhulme Trust.,4
Natural Environment Research Council,,4
Natural History Museum,,4
Marine Institute,4
Utah State University,,4
Environment Canada,,4
University of Cambridge,4
Sears,4
Ministry of Science and Technology,4
University of British Columbia,4
Fundação de Amparo à Pesquisa do Estado de São Paulo,4
Biotechnology and Biological Sciences Research Council,4
American Statistical Association,4
Zoological Society of London,4
University of Alberta,4
University of Cambridge,,4
University of Auckland,4
Universidad de Granada,,4
University of Auckland,,3
McGill University,3
Centers for Disease Control and Prevention,3
Gordon and Betty Moore Foundation,3
National Zoological Park,,3
University of Arizona,3
University of Georgia,,3
"American Ornithologists' Union",3
Universities Federation for Animal Welfare,3
Acoustical Society of America,3
European Commission;,3
University of Sheffield,,3
Society of Canadian Ornithologists,3
Linnean Society of London,3
Canada Foundation for Innovation,3
Ministerio de Economía y Competitividad,3
Oregon State University,,3
University of Aberdeen,3
Zoological Society of London,,3
U.S. Geological Survey,3
University College Cork,3
Durham University,,3
University of Cape Town,,3
Ministry of Education,,3
KU Leuven,3
University of British Columbia,,3
Universidad Nacional Autónoma de México,3
Royal Society.,3
Universidade Federal de Minas Gerais,,3
Dartmouth College,,3
U.S. Geological Survey,,3
Smithsonian Conservation Biology Institute,,3
Agencia Nacional de Promoción Científica y Tecnológica,3
Environmental Protection Agency,3
National Research Foundation,3
Geological Society of London,3
National Institutes of Health,3
Macquarie University,3
Utah State University,3
Biotieteiden ja Ympäristön Tutkimuksen Toimikunta,3
Simon Fraser University,3
University of Utah,,3
Home Office,3
Flinders University,3
Cardiff University,,3
Acoustical Society of America,,3
SAS Institute.,3
Colorado State University,,3
Ministry of Natural Resources,3
Natural Sciences and Engineering Research Council of Canada,,2
University of East Anglia,,2
Human Frontier Science Program,2
University of Toronto,2
University of Utah,2
University of Minnesota,2
Bat Conservation International,2
University of Michigan,2
Purdue University,2
University of Tokyo,,2
Leverhulme Trust,2
Macquarie University,,2
Norges Forskningsråd,2
Cornell University.,2
Japan Society for the Promotion of Science,2
European Commission,,2
European Commission.,2
East Carolina University,2
University of Winnipeg,2
Research and Development,2
University of Canterbury,,2
European Science Foundation,,2
Utah Agricultural Experiment Station,2
University of Saskatchewan,2
University of Canterbury,2
Microsoft,2
Wellesley College,,2
Royal Swedish Academy of Sciences,,2
Imperial College London,2
University of Guelph,,2
European Environment Agency,,2
Genome Canada,2
Sixth Framework Programme,2
Indian Institute of Science,,2
Esmée Fairbairn Foundation,2
University of Western Australia,2
Université du Québec à Rimouski,2
Ministry of Environment,2
Université Laval,2
European Centre for Disease Prevention and Control,2
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,2
British Ecological Society.,2
Monash University,,2
Australian Academy of Science,2
Conservation International,,2
Natural Resources Wales,2
University of Winnipeg.,2
University of Winnipeg,,2
Universities Federation for Animal Welfare,,2
Sichuan University,,2
University of Massachusetts,2
U.S. Environmental Protection Agency,2
Entomological Society of America,2
Indian Institute of Science,2
Rural Development Administration,,2
Bournemouth University,,2
University of Melbourne,2
University of Windsor,2
English Heritage,2
University of Montana,2
Grant Foundation,2
Chinese Academy of Sciences.,2
Iowa State University,2
University of Florida,,2
Chester Zoo,2
University of Exeter.,2
Department of Biological Sciences, Dartmouth College,,2
Ministry of Higher Education,,2
Earthwatch Institute,2
Marine Institute.,2
Pennsylvania State University,2
AXA Research Fund,2
Philips,2
American Statistical Association,,2
Conselho Nacional de Desenvolvimento Científico e Tecnológico,2
University of Sydney,2
Zhejiang University,2
Shell,2
Australian Institute of Marine Science,2
Ministry of Environment,,2
Fundação para a Ciência e a Tecnologia,2
Nankai University,2
University of Bristol,2
Arizona State University,2
Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada,2
University of Connecticut,,2
Wageningen University,,2
Cabildo Insular de La Palma,2
Natural England,,2
European Environment Agency,2
Christensen Fund,,2
Wellcome Trust,2
California State University,2
National Geographic Society,,2
Department of Primary Industries,2
Consejo Nacional de Ciencia y Tecnología,2
Indiana University,2
Prehistoric Society,2
Fonds Québécois de la Recherche sur la Nature et les Technologies,2
University of Florida,2
Virginia Commonwealth University,2
McGill University,,2
National Park Service,,2
Université de Bourgogne,,2
Washington State University,2
Northern Arizona University,2
University of Wyoming,2
Royal Astronomical Society,2
British Ecological Society,2
Canada Research Chairs,2
College of Agriculture and Life Sciences,2
Seventh Framework Programme,2
National Research Foundation.,2
University of East Anglia.,1
Concordia University,,1
Wageningen UR.,1
Natural Sciences and Engineering Research Council of Canada.,1
University of Tasmania,1
Bedford Institute of Oceanography,1
A.G. Leventis Foundation,1
Queensland Brain Institute,1
Smithsonian Institution,,1
Wuhan University.,1
Ministry of the Environment.,1
Canada Research Chairs,,1
University of Ottawa,,1
U.S. Forest Service,1
Smithsonian Institution;,1
International Union of Pure and Applied Chemistry,1
National Institutes of Health,,1
National Institutes of Health.,1
Suomen Akatemia,1
Geological Society of America,1
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,1
Durham University,1
American Association for the Advancement of Science,1
Auburn University,1
Ministry of Foreign Affairs,,1
School of Aquatic and Fishery Sciences,,1
San Diego State University,1
American Museum of Natural History,,1
Universidad Nacional Autónoma de México,,1
University of Oklahoma,1
School of Medicine,,1
Universidad Autónoma de Madrid,,1
Texas Tech University,1
Prehistoric Society,,1
Melbourne Water,,1
Biochemical Society,1
Consejo Superior de Investigaciones Científicas,,1
Université du Québec à Rimouski,,1
United Nations,1
Institut Universitaire de France,1
Université de Bordeaux,,1
Auburn University,,1
Russian Academy of Sciences,1
Association for the Study of Animal Behaviour,1
Department of Biological Sciences, Dartmouth College,1
Université de Neuchâtel.,1
Society of Canadian Ornithologists,,1
ProQuest,1
Universidad Autónoma de Madrid,1
Consejo Superior de Investigaciones Científicas,1
Boise State University,1
University of Canterbury;,1
Mohammed bin Zayed Species Conservation Fund,1
Ministerio de Agricultura, Alimentación y Medio Ambiente,1
