funders,count
National Academy of Sciences,69
National Science Foundation,50
United Nations,49
Royal Society,34
National Natural Science Foundation of China,27
European Research Council,23
World Health Organization,22
University of California,21
National Oceanic and Atmospheric Administration,18
University of California,,18
Department of Health,17
Met Office,16
National Aeronautics and Space Administration,14
Ministry of Education,13
Chinese Academy of Sciences,13
Health Research,13
American Association for the Advancement of Science,12
Research and Development,12
American Meteorological Society,,12
European Commission,12
Shell,12
Ministry of Health,12
School of Medicine,,10
United Nations.,10
Chinese Academy of Sciences,,10
National Academy of Sciences.,10
United Nations,,9
Ministry of Education,,9
Princeton University,8
Stanford University,8
National Academy of Sciences,,8
Seventh Framework Programme,8
University of Tokyo,,7
University of Washington,7
Natural Environment Research Council,7
U.S. Army,7
Centers for Disease Control and Prevention,6
Gordon and Betty Moore Foundation,6
Wageningen University,6
Yale University,6
Imperial College London,6
U.S. Geological Survey,6
University of Delaware,6
University of New South Wales,,6
Deutsche Forschungsgemeinschaft,6
Tufts University,6
Commonwealth Scientific and Industrial Research Organisation,6
Columbia University,6
National Institute on Drug Abuse,5
Japan Society for the Promotion of Science,5
European Commission.,5
Microsoft,5
Ministry of Environment,5
American Meteorological Society,5
Massachusetts Institute of Technology,,5
Goddard Space Flight Center,5
National Research Foundation,5
National Institute for Environmental Studies,,5
National Oceanic and Atmospheric Administration,,5
SAS Institute,5
World Meteorological Organization,5
Simons Foundation,5
Australian Research Council,4
University of Utah,4
Natural Sciences and Engineering Research Council of Canada,4
U.S. Department of Agriculture,4
U.S. Department of Health and Human Services,,4
Joint Research Centre,4
National Institute of Food and Agriculture,4
Marine Biological Association,4
U.S. Department of Energy,4
School of Medicine,4
University of Tasmania,,4
Centers for Disease Control and Prevention,,4
Centers for Disease Control and Prevention.,4
University of Chicago,4
Cornell University,4
Department of Natural Resources,4
Wageningen University,,4
Ministry of the Environment,4
McGill University,,4
Environmental Protection Agency,,4
University College London,,4
Office of Naval Research,4
National Institutes of Health,,3
National Institute for Environmental Studies,3
U.S. Department of Agriculture,,3
University of South Florida,,3
Mahidol University,,3
University of Maryland,3
Government of Canada.,3
National Institute of Mental Health,3
Bundesministerium für Bildung und Forschung,3
Langley Research Center,,3
Oak Ridge National Laboratory,3
U.S. Department of Health and Human Services.,3
Boston University,3
American Psychological Association,,3
University of Washington,,3
University of Toronto,,3
Australian National University,,3
National Institute of General Medical Sciences,3
Columbia University,,3
Met Office,,3
University of Southern California,,3
National Center for Atmospheric Research,3
Colorado State University,3
National Science Foundation,,3
Harvard University,3
International Fund for Agricultural Development,3
Environmental Protection Agency,3
University of Cambridge,3
Barcelona Supercomputing Center,,3
Ministry of Science and Technology,3
University of British Columbia,3
Hokkaido University,,3
Zhejiang University,3
Seoul National University,,3
University of Texas at Austin,,3
World Health Organization.,3
Arizona State University,3
National Institutes of Health,3
Orange,3
Energy Foundation,,3
Maine Medical Center,3
University of Minnesota,,3
University of Southern California,3
Lawrence Berkeley National Laboratory,3
Harvard Business School,3
Deltares,3
Engineering and Physical Sciences Research Council,3
Agency for Healthcare Research and Quality,3
EDS,3
Asian Development Bank,3
Wellcome Trust,,3
Université de Toulouse,,3
Pennsylvania State University,,3
Canada Research Chairs,3
University of Texas at Austin,3
University of East Anglia,,2
University of Notre Dame,2
University of Ottawa,,2
UNICEF,2
University of Toronto,2
U.S. Forest Service,2
University of Minnesota,2
World Wildlife Fund,2
Tokyo Institute of Technology,,2
University of East Anglia,2
Geological Society of America,2
Purdue University,2
University of Portsmouth,,2
Leverhulme Trust,2
University of Arizona,2
Arizona State University,,2
American Society of Civil Engineers,2
Mahidol University.,2
Army Research Office,2
Carlsbergfondet,2
University of Central Florida,,2
United States Agency for International Development,2
European Commission,,2
European Research Council,,2
Ministry of Economic Affairs,,2
Medical Research Council,2
San Diego State University,,2
University of Notre Dame,,2
National Institute of Food and Agriculture,,2
Tsinghua University,2
Natural Environment Research Council.,2
George Mason University,,2
Oregon State University,,2
U.S. Department of Commerce,2
Council for the Development of Social Science Research in Africa,2
California Institute of Technology,,2
Royal Swedish Academy of Sciences.,2
National Health Insurance Service,2
European Environment Agency,,2
Lawrence Livermore National Laboratory,,2
Gulf of Mexico Research Initiative,2
Resources for the Future,,2
Stanford University,,2
National Aeronautics and Space Administration,,2
Environment Canada,2
University of Toronto.,2
Stanford University.,2
North Carolina State University,,2
Princeton University,,2
Perelman School of Medicine, University of Pennsylvania,,2
University of Portsmouth,2
University of Texas at San Antonio,,2
National Institute of Clinical Studies,2
American College of Sports Medicine,2
Roche,2
American Psychological Association,2
Australian National University.,2
Harvard University,,2
Jet Propulsion Laboratory,,2
Washington State Department of Social and Health Services.,2
Austrian Science Fund,2
National University of Ireland, Galway,,2
American Geophysical Union,2
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,2
Tufts University,,2
World Meteorological Organization.,2
University of Pennsylvania,,2
State Oceanic Administration,2
George Mason University,2
Dalhousie University,2
Chinese Academy of Sciences.,2
American Academy of Pediatrics,2
Northeastern University,2
Mitacs,2
Ateneo de Manila University,2
Marine Institute,,2
Tabriz University of Medical Sciences,,2
Sears,2
Mahidol University,2
University of Chicago,,2
Ontario Ministry of Health and Long-Term Care,2
Energy Foundation,2
University of Montana,,2
Karolinska Institutet,,2
Clarkson University,,2
Nationwide,2
Mars,2
EMBO,2
Tabriz University of Medical Sciences,2
Indo-US Science and Technology Forum,2
Korea Development Institute,2
Kunming University of Science and Technology,2
University of Hong Kong,,2
Universitetet i Bergen,2
China Postdoctoral Science Foundation,2
European Environment Agency,2
University of Dhaka,,2
Cancer Care Ontario,2
University of Maryland,,2
California State University,2
University of Pennsylvania,2
Louisiana Department of Wildlife and Fisheries.,2
Trent University,,2
Overseas Development Institute,2
Los Alamos National Laboratory.,2
Los Alamos National Laboratory,,2
Bombardier,2
University of Florida,2
British Academy,2
Los Alamos National Laboratory,2
Langley Research Center,2
National Institute for Occupational Safety and Health,2
Politecnico di Milano,,2
Australian National University,2
Friedrich-Ebert-Stiftung,2
Engineering Laboratory,,2
Social Sciences and Humanities Research Council of Canada,2
Nintendo,1
