funders,count
Royal Society,56
World Health Organization,25
Engineering and Physical Sciences Research Council,23
European Commission,17
Medical Research Council,15
National Academy of Sciences,13
United Nations,12
Research and Development,12
National Research Foundation,12
National Natural Science Foundation of China,12
Ministry of Education,11
Department of Health,10
Health Research,10
Wellcome Trust,10
Joint Research Centre,8
National Science Foundation,8
Orange,8
University of California,7
Microsoft,7
Public Health England,7
European Parliament,7
EMBO,7
European Research Council,7
SPIE,6
American Chemical Society.,6
Heart Foundation,6
World Health Organization.,6
Academy of Medical Sciences,5
Acoustical Society of America,5
European Commission,,5
University College London,5
Roche,5
Office of Science,,5
University of Exeter,,5
Basic Energy Sciences,,5
Imperial College London,,5
University of Bath,,5
Mars,5
Biotechnology and Biological Sciences Research Council,5
British Heart Foundation,5
National Academy of Sciences.,5
Health Research,,5
Politecnico di Milano,,5
KU Leuven,,4
Australian Research Council,4
EMI,4
Imperial College London,4
U.S. Department of Energy,4
National Health and Medical Research Council,4
Princeton University,4
School of Medicine,4
University of Chicago,4
Deutsche Forschungsgemeinschaft,4
World Health Organization;,4
Ministry of Health,4
University of Cambridge,,4
Merck,4
Università degli Studi di Firenze,4
U.S. Department of Energy,,4
Leverhulme Trust,3
Universiti Teknologi Malaysia,3
Department of Health.,3
School of Medicine,,3
National Institute for Health Research,3
University of Maryland,3
Natural Sciences and Engineering Research Council of Canada,3
National Renewable Energy Laboratory,3
United Nations,,3
Ministry of Education,,3
Western University,,3
Royal Society.,3
University of Otago,3
Sprint,3
University of Cambridge,3
Ministry of Science and Technology,3
Argonne National Laboratory,3
Ministry of Health,,3
University of Alberta,,3
China Scholarship Council,3
University of California,,3
World Health Organization,,3
National Institutes of Health,3
Eurostat,3
Lawrence Berkeley National Laboratory,3
EDS,3
Loughborough University,,3
University College London,,3
Chinese Academy of Medical Sciences,3
International Atomic Energy Agency,3
Seventh Framework Programme,3
Wageningen UR,,2
University of Guelph,2
Fisheries Agency,2
University of Bath,2
Edinburgh Napier University,2
Ministry of Economy,2
American Society of Civil Engineers,2
European Commission.,2
European Research Council,,2
Covenant University,2
Treasury,2
ProQuest,2
Fonds Wetenschappelijk Onderzoek,2
University of Sheffield,,2
Bundesministerium für Bildung und Forschung,2
National Cancer Institute,2
Iams,2
Korea Institute of Energy Technology Evaluation and Planning,2
American Society of Mechanical Engineers,2
Ministry of Human Resource Development,,2
Chungnam National University,2
University of Guelph,,2
Lawrence Livermore National Laboratory,2
University of Washington.,2
Massachusetts Institute of Technology,2
AkzoNobel,2
University of Cape Town.,2
Ministry of Education.,2
Cystic Fibrosis Trust.,2
MDC,2
Icahn School of Medicine at Mount Sinai,,2
University of British Columbia,,2
Office of Science,2
Public Health England.,2
Agentschap voor Innovatie door Wetenschap en Technologie,2
University of Canberra,2
College of Pharmacy,,2
Energy Information Administration,2
Harvard University,2
National University of Singapore,,2
University of Cape Town,2
Engineering and Physical Sciences Research Council,,2
University of Dundee,,2
National University of Singapore,2
University of New South Wales,2
China Three Gorges University,2
Ministry of Science, ICT and Future Planning,2
Philips,2
Delft University of Technology,2
Ministry of Health.,2
University of St Andrews,,2
University of Sydney,2
Food and Drug Administration,2
Hokkaido University,,2
Ministry of Agriculture, Forestry and Fisheries,2
Ministry of Finance,2
European Synchrotron Radiation Facility,2
Edinburgh Napier University.,2
Nationwide,2
Imperial College London.,2
Universiti Putra Malaysia,,2
Science and Engineering Research Board,2
Chiang Mai University,2
China Postdoctoral Science Foundation,2
Vrije Universiteit Brussel,,2
Chongqing Science and Technology Commission,2
European Environment Agency,2
Agency for Science, Technology and Research,2
RWTH Aachen University,2
Osmania University,2
University of Exeter,2
American Society of Mechanical Engineers.,2
University of Cambridge.,2
UK Atomic Energy Authority,2
Cancer Research UK,,2
Santen,2
University of Michigan,,2
Queensland University of Technology,2
International Monetary Fund;,2
Kyoto University,2
Jilin University,2
Cardiff University,,2
Lawrence Berkeley National Laboratory,,2
Russian Science Foundation,2
Food Standards Agency,2
University Grants Commission,2
University of Sheffield,2
Canada Research Chairs,2
"Queen's University",2
Natural Sciences and Engineering Research Council of Canada.,1
Natural Sciences and Engineering Research Council of Canada,,1
Division of Materials Research,1
University of East Anglia,,1
Tyson,1
RTI International,1
British Medical Association,1
Nanyang Technological University.,1
Vetenskapsrådet,1
University of Virginia,1
Victorian Health Promotion Foundation,1
McGill University,1
Division of Chemistry,1
American Chemistry Council,,1
Shanghai Jiao Tong University.,1
Infectious Diseases Society of America,1
Shanghai Jiao Tong University,,1
Micron Technology,1
Brunel University London,1
ABB,1
Amgen,1
Technische Universität Dresden,,1
Auburn University,1
Royal College of Paediatrics and Child Health.,1
University of Oklahoma,,1
Chungnam National University,,1
Agilent Technologies.,1
U.S. Department of Agriculture,,1
International Monetary Fund,1
Medical College of Wisconsin,,1
MedImmune,1
Novartis,1
Biochemical Society,1
American Diabetes Association,1
Cornell University,,1
Wageningen University,1
Mahidol University,,1
United States Agency for International Development,1
Zhejiang University,,1
Imperial College Healthcare NHS Trust,1
European Research Council;,1
University of Virginia,,1
Brain Foundation,,1
Chungnam National University.,1
Guangdong University of Petrochemical Technology,1
Commonwealth Fund,,1
Agency for Defense Development,,1
BRANZ,1
Duke University,,1
RWTH Aachen University,,1
Danone,1
Federal Highway Administration.,1
Consejo Nacional de Ciencia y Tecnología,,1
