binomial,count
Spartina alterniflora,31
Solidago canadensis,30
Phragmites australis,27
Alternanthera philoxeroides,20
Mikania micrantha,19
Rhododendron ponticum,19
Impatiens glandulifera,16
Ambrosia artemisiifolia,15
Eucalyptus globulus,14
Quercus robur,14
Bemisia tabaci,13
Cupressus duclouxiana,13
Ageratina adenophora,13
Solenopsis invicta,13
Quercus ilex,12
Tapinoma melanocephalum,12
Aedes albopictus,12
Ae. albopictus,12
Filipendula ulmaria,11
Cupressus gigantea,11
Bromus tectorum,11
Halophila stipulacea,10
Bactrocera dorsalis,10
Elymus elymoides,10
Popillia japonica,10
Cyperus malaccensis,10
Aedes aegypti,9
Carex buekii,9
Lactuca sativa,9
Plutella xylostella,9
Pinus sylvestris,9
E. alsodes,9
Bidens pilosa,9
Escherichia coli,9
Lupinus nootkatensis,9
Alternanthera sessilis,9
Paeonia ostii,9
Pinus pinea,9
Bactrocera correcta,9
Gambelia sila,9
Centaurea stoebe,9
Urtica dioica,9
Robinia pseudoacacia,9
Synsepalum dulcificum,8
Cassida rubiginosa,8
Hedera helix,8
Artemisia tridentata,8
Cotesia vestalis,8
Egeria densa,8
Solanum lycopersicum,8
Posidonia oceanica,8
Pinus halepensis,8
Fagus sylvatica,8
Olea europaea,8
Corythucha ciliata,8
Cassida stigmatica,8
Lantana camara,8
Solidago gigantea,8
Lythrum salicaria,8
Pinus pinaster,8
E. schardlii,8
P. annua,7
Cymodocea nodosa,7
Plantago major,7
Apis mellifera,7
Spartina maritima,7
Jacobaea vulgaris,7
Eichhornia crassipes,7
Parthenium hysterophorus,7
Pieris rapae,7
Ochetophila trinervis,7
Dryas drummondii,7
Tithonia diversifolia,7
Sparganium angustifolium,7
Platanus acerifolia,7
Alternanthera hygrophila,7
Sirex noctilio,7
Cardamine pratensis,7
Arabidopsis thaliana,7
Bombus pensylvanicus,6
Pteridium aquilinum,6
Silene acaulis,6
Lepidium sativum,6
Ligustrum lucidum,6
Spartina densiflora,6
Disa bracteata,6
Erodium cicutarium,6
Bidens frondosa,6
Trifolium repens,6
P. alsodes,6
Salix fragilis,6
Brassica rapa,6
Tragopogon dubius,6
Spodoptera littoralis,6
Silene latifolia,6
Amaranthus palmeri,6
Viola biflora,6
Hypochaeris glabra,6
Phrynosoma cornutum,6
Dryas octopetala,6
Xylella fastidiosa,6
Azorella selago,5
Pieris canidia,5
Pinus radiata,5
Antiaris dealbata,5
Pterocypsela laciniata,5
Bombus terricola,5
Centaurea jacea,5
Miconia rufopunctatum,5
Picea abies,5
Centrocercus urophasianus,5
Geranium pyrenaicum,5
Oryctolagus cuniculus,5
Jatropha curcas,5
Schinus terebinthifolius,5
Prosopis juliflora,5
Halimium lasianthum,5
Vicia cracca,5
Brassica napus,5
Staphylococcus aureus,5
Rattus rattus,5
Geum urbanum,5
Harmonia axyridis,5
Antiaris altissima,5
Cuscuta campestris,5
Lactuca leucocephala,5
Phytophthora cinnamomi,5
Quercus cerris,5
Lactuca serriola,5
Eucalyptus camaldulensis,5
Tragopogon pratensis,4
Tropaeolum tuberosum,4
Ailanthus altissima,4
P. secunda,4
Anoplophora glabripennis,4
