climate,count
climate,1122
atmospheric,519
Arctic,463
anthropogenic,350
sea ice,324
Antarctic,265
atmosphere,234
greenhouse gas,230
radiative forcing,188
IPCC,180
Intergovernmental Panel on Climate Change,156
weather,154
methane,138
albedo,130
ozone,128
agricultural,107
Holocene,101
insolation,95
ENSO,94
Southern Ocean,92
sea surface temperature,89
carbon dioxide,83
Anthropogenic,75
carbon cycle,69
climatology,69
ice core,65
oceans,62
sea ice,,59
sea ice.,52
Paris Agreement,48
water vapor,38
radiative forcing.,34
radiative forcing,,32
anthropogenic climate change,32
pollutant,31
irradiance,31
Greenland Ice Sheet,28
carbon sequestration,28
nitrous oxide,26
tipping points,26
global climate model,26
orbital forcing,26
Global warming,26
Southern Ocean,,25
Drought,24
Paris Agreement.,23
ice age,22
carbon dioxide,,22
sea surface temperature,,19
Intergovernmental Panel on Climate Change.,19
Southern Ocean.,18
deforestation,18
AMO,17
polar amplification,17
Paris Agreement,,16
PDO,16
Anthropocene,16
phenology,16
carbon cycle,,15
ecosystem services,15
tropopause,14
meteorology,14
Atlantic Multidecadal Oscillation,14
Feedbacks,14
anthropogenic climate change.,12
thermohaline circulation,12
water vapor,,12
United Nations Framework Convention on Climate Change,11
Intergovernmental Panel on Climate Change,,11
Little Ice Age,11
thermocline,11
greenhouse effect,10
Black carbon,10
greenhouse gas,,10
carbon cycle.,10
anthropogenic climate change,,9
desertification,8
emission intensity,8
homogenization,8
Fossil fuel,8
ice core,,8
El Niño-Southern Oscillation,8
Snowball Earth,8
Interdecadal Pacific Oscillation,7
orbital forcing.,7
Climate sensitivity,7
Sea level rise,7
carbon sequestration.,7
enteric fermentation,7
urban heat island,6
orbital forcing,,6
mode of variability,6
anthropogenic global warming,6
ecosystem services.,6
carbon footprint,6
Gulf Stream,5
polar amplification.,5
tipping points,,5
enteric fermentation,,5
greenhouse effect.,5
IOD,5
ecosystem services,,5
Volcanism,4
Snowball Earth.,4
nitrous oxide,,4
tree rings,4
Greenland Ice Sheet.,4
sea surface temperature.,4
North Atlantic oscillation,4
tipping points.,4
ice core.,4
paleothermometer,4
water vapor.,4
Snowball Earth,,3
Milankovitch cycles,3
Renewable energy,3
thermal inertia,3
Biofuel,3
Intergovernmental Panel on Climate Change;,3
Glaciation,3
greenhouse gas.,3
carbon sequestration,,3
Kyoto Protocol,3
United Nations Framework Convention on Climate Change.,3
North Atlantic Deep Water,3
cap and trade,2
invasive species,,2
Keeling,2
sea ice?,2
Atlantic Multidecadal Oscillation.,2
carbon tax,2
Kyoto Protocol.,2
thermohaline circulation,,2
carbon dioxide.,2
Solar cycle,2
global climate model,,2
radiative forcing;,2
"Earth's energy budget",2
Sustainable development,2
paleoclimatology,2
Medieval Warm Period,2
Pacific decadal oscillation.,2
Argo,2
Megadrought,1
invasive species.,1
thermal inertia.,1
Pacific decadal oscillation,1
ice age,,1
Atlantic Multidecadal Oscillation,,1
Greenland Ice Sheet,,1
Gulf Stream,,1
Kyoto Protocol,,1
thermohaline circulation.,1
Climate engineering,1
global dimming,1
core sample,1
Effective temperature,1
carbon footprint,,1
mode of variability.,1
Tropospheric ozone,1
cosmic rays,1
global climate model.,1
mitigation of global warming,1
Cosmic rays,1
core sample.,1
refrigerants,1
Ocean acidification,1
enteric fermentation;,1
Cloud forcing,1
Desalination,1
global warming period,1
greenhouse effect,,1
carbon cycle;,1
carbon tax.,1
United Nations Framework Convention on Climate Change,,1
invasive species,1
Arrhenius,1
emission intensity.,1
El Niño-Southern Oscillation.,1
